cite_key,authors,year,title_short,journal,method,key_finding,innovation,citations,IF,theme_A,theme_B,theme_C,theme_D,theme_E
zhou2026bibliometric,"Zhou, Li, Zhang, Chen, Dong",2026,Transport Infrastructure Resilience: Bibliometric Analysis,Progress in Disaster Science,Bibliometric + keyword co-occurrence network + thematic analysis of 2000+ publications,Four clusters identified; rainfall-transport sits at intersection of Cluster 1 (climate impacts) and Cluster 2 (risk assessment); calls for integrated simulation platforms combining urban climatology and network science,First comprehensive bibliometric mapping of 30 years (1995-2025); validates rainfall-transport as active research frontier; identifies gap in real-time weather-to-performance linkage,~0,4.9,✓,-,✓,-,-
wassmer2024resilience,"Wassmer, Merz, Marwan",2024,Resilience of Transport Networks to Road Failures,Chaos,Gravity-model-based traffic centrality + OSM/GHSL data + German Mobility Panel,Ahr Valley 2021 flood: bridge destruction caused cascading delays far from epicenter; German Mobility Panel shows car usage increases with rainfall intensity (demand-side effect),Novel gravity-model traffic centrality with Delta-T commuter time metric; open-data approach (OSM+GHSL); binary failure model -- gap for continuous speed degradation,~10,3.1,✓,-,✓,-,-
stamos2023centrality,Stamos,2023,Transport Networks and Climate Change: Centrality Measures Review,Future Transportation,Review of 17 centrality measures across 4 categories (degree/closeness/betweenness/eigenvector),Betweenness and closeness centrality should use transit time not distance; information centrality most relevant for disruption assessment; current models assume ideal weather -- gap for rainfall-speed integration,Systematic assessment linking centrality measures to climate adaptation; explicitly identifies weather-gap in traffic flow models,~10,1.7,✓,-,✓,-,-
becker2026rainfall,"Becker, Ulbrich, Rust",2026,Impact of Rainfall on Driving Speed: Radar + FCD,Future Transportation,Linear regression on radar rainfall + floating car data,Heavy rainfall (>8L/m2 in 5min) reduces highway speeds by >30% at 130km/h limit zones; effect scales with speed limit,Combines high-resolution weather radar with 1.5M road-section floating car data across Germany,~0,1.7,-,✓,-,✓,✓
cai2016rainfall,"Cai, Xu, Yin",2016,Rainfall Intensity Effects on Heteroscedastic Speed Dispersion,J. Transportation Engineering,Exponential regression on video detector + rain gauge data,Speed dispersion (CV 0.05-0.2) increases with rainfall intensity; exponential function fits speed-rainfall relationship well,Models heteroscedastic (varying variance) speed dispersion under rainfall rather than just mean speed,~80,N/A,-,✓,-,✓,-
bi2022weather,"Bi, Ye, Zhu",2022,Data-Driven Analysis of Weather Impacts on Urban Traffic,Urban Climate,Regression + Decision Trees on city-level traffic data,Precipitation causes congestion and delays especially during peak hours; effects vary by city characteristics,City-level data-driven framework linking weather variations to traffic conditions using machine learning,~35,7.8,✗,✓,-,✓,-
li2024percolation,"Li, Wu, Xiao, Hu, Wang, Chen",2024,Highway Network Resilience Under Rainfall: Percolation Theory,Physica A,Data-driven percolation theory,Speed decline rate serves as effective percolation indicator; critical rainfall thresholds identified for network fragmentation (East Midlands UK case),Applies percolation theory to rainfall-induced functional degradation rather than complete link removal,~10,3.5,-,✓,✓,✓,✓
liu2026extreme,"Liu, Xu, Wan, MacAskill",2026,Road Transport Resilience Under Extreme Rainfall,Int. J. Disaster Risk Reduction,Dynamic traffic assignment (link transmission model),Integrating flood depth and visibility reduction and signal failure reveals much larger network delays than considering any single factor alone,First framework integrating three rainfall impact pathways (flood/visibility/signals) with delay propagation,~0,5.4,✓,✓,✓,✓,-
raccagni2024urban,"Raccagni, Ventura, Barabino",2024,Impact of Urban Road Characteristics on Vehicle Speed,Heliyon,MLR on V85 with forward selection (48K+ spot speeds; 240 locations; 130 segments in Brescia Italy),R²_adj=85.8% for final model (9 predictors); MAE=2.77 km/h; segment length/lanes/trees/asphalt/markings increase V85; parking/obstacles/intersection density decrease V85; traffic calming measures NOT significant,Largest urban V85 sample; introduces novel predictors (left crossbar width/obstacles); demonstrates road geometry dominates over traffic calming; assumes normality (contrast with Gamma GLM approach),~5,4.0,-,✓,-,✓,-
nce2026srn,New Civil Engineer,2026,Only 7% of UK SRN Meets Climate Standards,News article,Investigative journalism / data reporting,Only 7% of UK's 7400km strategic road network meets climate drainage standards set 20 years ago,Reveals critical UK infrastructure adaptation deficit with specific quantitative evidence,N/A,N/A,✓,-,-,-,-
nh2024climate,National Highways,2024,Climate Change and the Strategic Road Network,Policy document,Climate risk assessment + adaptation planning,38% of English roads at flood risk in 2024 rising to 46% by 2050; UK may see 0.9-5.4C warming by 2070s,Official UK strategic road network climate adaptation reporting under ARP4,N/A,N/A,✓,-,-,-,-
pulugurtha2021aadt,"Pulugurtha, Mathew",2021,Modelling AADT on Local Roads,J. Transport Geography,OLS and GWR regression on land use + road + Census data (North Carolina),GWR significantly outperforms OLS (spatial non-stationarity key); road density/nearest nonlocal AADT/land use predict local road volumes; high prediction errors in urban counties and dead-end roads,Demonstrates GWR superiority for spatially-varying AADT; supports spatially-varying coefficients in any road performance model; baseline traffic estimation methodology for minor roads,~25,5.9,-,-,-,✓,-
mccullagh1989glm,"McCullagh, Nelder",1989,Generalized Linear Models (2nd ed.),Chapman & Hall (Book),Theoretical framework for GLMs,GLMs unify regression and ANOVA under exponential family distributions with link functions,Foundational statistical reference establishing GLM theory and practice,~30000,N/A,-,-,-,✓,-
nelder1972glm,"Nelder, Wedderburn",1972,Generalized Linear Models,JRSS Series A,Iterative weighted linear regression for exponential family,Maximum likelihood estimation via iterative weighted least squares for exponential family distributions,Seminal paper introducing the GLM framework that unified diverse statistical models,~8000,N/A,-,-,-,✓,-
freeman1977centrality,Freeman,1977,Measures of Centrality Based on Betweenness,Sociometry,Graph-theoretic betweenness measures,Betweenness centrality captures a node's control potential over communication in networks,Introduced betweenness centrality as a formal measure of node importance in networks,~15000,N/A,-,-,✓,-,-
